426
10
14076400
5183200
0 1 0 27 40  8 (D 0,1,1) (S 36,1,3) (S 29,3,4) (S 34,4,10) (S 40,6,7) (S 1,3,3) (S 38,2,1) (D 0,1,1)
0 1 1 27 38  7 (D 0,1,1) (S 11,19,19) (S 26,2,12) (S 22,12,13) (S 24,13,15) (S 18,15,20) (D 0,1,1)
0 1 2 26 65  7 (D 0,1,1) (S 10,18,18) (S 8,15,15) (S 19,13,14) (S 25,14,20) (S 33,16,17) (D 0,1,1)
0 1 3 27 45  8 (D 0,1,1) (S 15,24,24) (S 14,23,23) (S 35,20,21) (S 12,21,21) (S 28,21,22) (S 39,25,26) (D 0,1,1)
0 1 4 27 26  5 (D 0,1,1) (S 41,3,6) (S 4,6,6) (S 3,5,5) (D 0,1,1)
0 1 5 27 38  6 (D 0,1,1) (S 31,23,24) (S 23,22,23) (S 13,22,22) (S 20,26,27) (D 0,1,1)
0 1 6 26 32  5 (D 0,1,1) (S 7,14,14) (S 21,14,18) (S 37,18,21) (D 0,1,1)
0 1 7 27 46  6 (D 0,1,1) (S 30,5,6) (S 2,4,4) (S 6,10,10) (S 16,27,27) (D 0,1,1)
0 1 8 27 86  6 (D 0,1,1) (S 5,8,8) (S 27,7,11) (S 32,4,6) (S 17,21,23) (D 0,1,1)
0 1 9 8 10  3 (D 0,1,1) (S 9,17,17) (D 0,1,1)
