5585
12
2926649000
296100
0 1 0 1541 158  5 (D 0,1,1) (S 7,1,2) (S 9,2,3) (S 1,3,3) (D 0,1,1)
0 1 1 1522 568  9 (D 0,1,1) (S 8,1,6) (S 17,6,11) (S 23,11,18) (S 40,23,24) (S 6,24,24) (S 50,26,25) (S 19,8,9) (D 0,1,1)
0 1 2 1522 348  7 (D 0,1,1) (S 10,2,7) (S 18,7,8) (S 46,8,13) (S 27,13,17) (S 3,14,14) (D 0,1,1)
0 1 3 1500 442  7 (D 0,1,1) (S 16,6,7) (S 20,9,10) (S 22,10,15) (S 4,15,15) (S 5,22,22) (D 0,1,1)
0 1 4 1533 440  7 (D 0,1,1) (S 11,3,4) (S 14,4,9) (S 21,9,14) (S 26,13,14) (S 2,11,11) (D 0,1,1)
0 1 5 1409 545  7 (D 0,1,1) (S 12,3,8) (S 28,14,15) (S 29,15,22) (S 49,21,17) (S 38,21,28) (D 0,1,1)
0 1 6 1416 718  8 (D 0,1,1) (S 47,11,12) (S 24,12,13) (S 48,12,7) (S 25,12,16) (S 13,4,5) (S 15,5,10) (D 0,1,1)
0 1 7 1365 434  5 (D 0,1,1) (S 33,18,23) (S 41,23,25) (S 35,19,24) (D 0,1,1)
0 1 8 1315 413  5 (D 0,1,1) (S 32,18,19) (S 34,19,20) (S 37,20,27) (D 0,1,1)
0 1 9 1529 543  5 (D 0,1,1) (S 30,16,17) (S 36,20,21) (S 45,28,29) (D 0,1,1)
0 1 10 1318 412  5 (D 0,1,1) (S 31,16,19) (S 42,24,26) (S 43,26,27) (D 0,1,1)
0 1 11 1123 564  4 (D 0,1,1) (S 44,27,28) (S 39,22,29) (D 0,1,1)
