564
10
1645007793600
393700
0 1 0 50 62  11 (D 0,1,1) (S 40,1,30) (S 19,1,31) (S 60,31,5) (S 2,5,5) (S 35,5,10) (S 6,10,10) (S 45,10,16) (S 49,30,1) (S 47,4,9) (D 0,1,1)
0 1 1 50 42  5 (D 0,1,1) (S 26,1,7) (S 1,2,2) (S 39,7,8) (D 0,1,1)
0 1 2 49 46  8 (D 0,1,1) (S 59,2,1) (S 43,3,2) (S 22,3,4) (S 18,4,13) (S 24,13,19) (S 37,19,18) (D 0,1,1)
0 1 3 50 68  11 (D 0,1,1) (S 23,3,9) (S 20,9,13) (S 32,13,12) (S 56,12,18) (S 41,12,11) (S 54,18,12) (S 33,11,6) (S 3,6,6) (S 8,14,14) (D 0,1,1)
0 1 4 49 51  9 (D 0,1,1) (S 51,30,29) (S 38,29,28) (S 28,29,31) (S 52,29,30) (S 16,27,27) (S 34,26,28) (S 17,28,28) (D 0,1,1)
0 1 5 50 74  7 (D 0,1,1) (S 58,9,4) (S 57,12,13) (S 30,21,22) (S 12,19,19) (S 48,14,10) (D 0,1,1)
0 1 6 49 70  10 (D 0,1,1) (S 27,6,31) (S 44,6,5) (S 7,11,11) (S 36,10,5) (S 9,16,16) (S 46,17,11) (S 10,17,17) (S 31,15,16) (D 0,1,1)
0 1 7 48 65  7 (D 0,1,1) (S 5,8,8) (S 11,18,18) (S 53,18,21) (S 42,21,18) (S 13,20,20) (D 0,1,1)
0 1 8 47 67  9 (D 0,1,1) (S 21,26,27) (S 25,24,27) (S 14,23,23) (S 29,23,25) (S 50,23,26) (S 15,25,25) (S 55,15,14) (D 0,1,1)
0 1 9 9 19  3 (D 0,1,1) (S 4,7,7) (D 0,1,1)
